Date,Time,DateTime,Casino,Wallet Address,Amount,Token,USD Value
2026-02-15,11:11:47,2026-02-15T11:11:47.000Z,Stake,0x974CaA59e49682CdA0AD2bbe82983419A2ECC400,0.114509,ETH,320.63
2026-02-15,11:11:47,2026-02-15T11:11:47.000Z,Stake,0x974CaA59e49682CdA0AD2bbe82983419A2ECC400,0.000088,ETH,0.25
2026-02-15,11:12:47,2026-02-15T11:12:47.000Z,Stake,0x974CaA59e49682CdA0AD2bbe82983419A2ECC400,0.000081,ETH,0.23
2026-02-15,11:12:47,2026-02-15T11:12:47.000Z,Stake,0x974CaA59e49682CdA0AD2bbe82983419A2ECC400,0.070666,ETH,197.87
2026-02-15,11:12:47,2026-02-15T11:12:47.000Z,Stake,0x974CaA59e49682CdA0AD2bbe82983419A2ECC400,0.032235,ETH,90.26
2026-02-15,11:12:47,2026-02-15T11:12:47.000Z,Stake,0x974CaA59e49682CdA0AD2bbe82983419A2ECC400,0.014481,ETH,40.55
2026-02-15,11:12:47,2026-02-15T11:12:47.000Z,Stake,0x974CaA59e49682CdA0AD2bbe82983419A2ECC400,0.000070,ETH,0.20
2026-02-15,11:12:47,2026-02-15T11:12:47.000Z,Stake,0x974CaA59e49682CdA0AD2bbe82983419A2ECC400,0.000078,ETH,0.22
2026-02-15,11:12:47,2026-02-15T11:12:47.000Z,Stake,0x974CaA59e49682CdA0AD2bbe82983419A2ECC400,0.000070,ETH,0.20
2026-02-15,11:12:47,2026-02-15T11:12:47.000Z,Stake,0x974CaA59e49682CdA0AD2bbe82983419A2ECC400,0.000096,ETH,0.27
2026-02-15,11:12:47,2026-02-15T11:12:47.000Z,Stake,0x974CaA59e49682CdA0AD2bbe82983419A2ECC400,0.033190,ETH,92.93
2026-02-15,11:12:47,2026-02-15T11:12:47.000Z,Stake,0x974CaA59e49682CdA0AD2bbe82983419A2ECC400,0.000081,ETH,0.23
2026-02-15,11:12:47,2026-02-15T11:12:47.000Z,Stake,0x974CaA59e49682CdA0AD2bbe82983419A2ECC400,0.000070,ETH,0.20
2026-02-15,11:12:47,2026-02-15T11:12:47.000Z,Stake,0x974CaA59e49682CdA0AD2bbe82983419A2ECC400,0.000070,ETH,0.20
2026-02-15,11:12:47,2026-02-15T11:12:47.000Z,Stake,0x974CaA59e49682CdA0AD2bbe82983419A2ECC400,0.090053,ETH,252.15
2026-02-15,11:12:47,2026-02-15T11:12:47.000Z,Stake,0x974CaA59e49682CdA0AD2bbe82983419A2ECC400,0.230535,ETH,645.50
2026-02-15,11:12:47,2026-02-15T11:12:47.000Z,Stake,0x974CaA59e49682CdA0AD2bbe82983419A2ECC400,0.000081,ETH,0.23
2026-02-15,11:12:47,2026-02-15T11:12:47.000Z,Stake,0x974CaA59e49682CdA0AD2bbe82983419A2ECC400,0.000081,ETH,0.23
2026-02-15,11:12:47,2026-02-15T11:12:47.000Z,Stake,0x974CaA59e49682CdA0AD2bbe82983419A2ECC400,0.000077,ETH,0.22
2026-02-15,11:12:47,2026-02-15T11:12:47.000Z,Stake,0x974CaA59e49682CdA0AD2bbe82983419A2ECC400,0.000081,ETH,0.23
2026-02-15,11:12:47,2026-02-15T11:12:47.000Z,Stake,0x974CaA59e49682CdA0AD2bbe82983419A2ECC400,0.000070,ETH,0.20
2026-02-15,11:12:47,2026-02-15T11:12:47.000Z,Stake,0x974CaA59e49682CdA0AD2bbe82983419A2ECC400,0.000069,ETH,0.19
2026-02-15,11:12:47,2026-02-15T11:12:47.000Z,Stake,0x974CaA59e49682CdA0AD2bbe82983419A2ECC400,0.000081,ETH,0.23
2026-02-15,11:12:47,2026-02-15T11:12:47.000Z,Stake,0x974CaA59e49682CdA0AD2bbe82983419A2ECC400,0.018201,ETH,50.96
2026-02-15,11:12:47,2026-02-15T11:12:47.000Z,Stake,0x974CaA59e49682CdA0AD2bbe82983419A2ECC400,0.000069,ETH,0.19
2026-02-15,11:12:47,2026-02-15T11:12:47.000Z,Stake,0x974CaA59e49682CdA0AD2bbe82983419A2ECC400,0.007247,ETH,20.29
2026-02-15,11:12:47,2026-02-15T11:12:47.000Z,Stake,0x974CaA59e49682CdA0AD2bbe82983419A2ECC400,0.000087,ETH,0.24
2026-02-15,11:12:47,2026-02-15T11:12:47.000Z,Stake,0x974CaA59e49682CdA0AD2bbe82983419A2ECC400,0.011450,ETH,32.06
2026-02-15,11:12:47,2026-02-15T11:12:47.000Z,Stake,0x974CaA59e49682CdA0AD2bbe82983419A2ECC400,0.061996,ETH,173.59
2026-02-15,11:12:47,2026-02-15T11:12:47.000Z,Stake,0x974CaA59e49682CdA0AD2bbe82983419A2ECC400,0.564263,ETH,1579.94
2026-02-15,11:12:47,2026-02-15T11:12:47.000Z,Stake,0x974CaA59e49682CdA0AD2bbe82983419A2ECC400,0.009654,ETH,27.03
2026-02-15,11:12:47,2026-02-15T11:12:47.000Z,Stake,0x974CaA59e49682CdA0AD2bbe82983419A2ECC400,0.000081,ETH,0.23
2026-02-15,11:12:47,2026-02-15T11:12:47.000Z,Stake,0x974CaA59e49682CdA0AD2bbe82983419A2ECC400,0.000087,ETH,0.24
2026-02-15,11:12:47,2026-02-15T11:12:47.000Z,Stake,0x974CaA59e49682CdA0AD2bbe82983419A2ECC400,0.000070,ETH,0.20
